date,offer,salary,start_hour,end_hour,hours_worked,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_worked,state,municipality
2018-08-01 00:00:13.297670,ingeniero industrial,10000,900,1900,10.0,1,1,1,1,1,1,0,6,Guanajuato,Salamanca
2018-08-01 00:20:11.104809,apoyo administrativo indepedi,3500,900,1300,4.0,1,1,1,1,1,0,0,5,Ciudad de México,Cuauhtémoc
2018-08-01 08:00:16.822504,maestras,5000,800,1400,6.0,1,1,1,1,1,0,0,5,México,Atizapán de Zaragoza
2018-08-01 08:15:27.144036,operario produccion industria fabricacion arneces,4300,800,1800,10.0,1,1,1,1,1,1,0,6,San Luis Potosí,Ciudad Valles
2018-08-01 08:15:35.888822,ayudante panaderia y pasteleria,5000,600,1400,8.0,1,1,1,1,1,1,1,7,Yucatán,Mérida
2018-08-01 08:25:17.206612,auxiliar administrativo,5000,900,1600,7.0,1,1,1,1,1,1,0,6,Michoacán,Morelia
2018-08-01 08:25:19.018010,encargado contabilidad,8000,800,1800,10.0,1,1,1,1,1,1,0,6,Morelos,Jiutepec
2018-08-01 08:30:11.332892,chofer  repartidor,4000,800,500,21.0,1,1,1,1,1,1,0,6,Durango,Gómez Palacio
2018-08-01 08:20:11.966813,ayudante calcinador,4000,700,300,20.0,1,1,1,1,1,1,1,7,Durango,Gómez Palacio
2018-08-01 08:25:26.672073,administrador institucion creditos,6000,800,2000,12.0,1,1,1,1,1,1,0,6,San Luis Potosí,Ebano
2018-08-01 08:30:31.524311,centralista,5000,700,1900,12.0,1,1,1,1,1,1,1,7,Yucatán,Mérida
2018-08-01 08:35:12.557807,estibador,4000,700,300,20.0,1,1,1,1,1,1,1,7,Durango,Gómez Palacio
2018-08-01 08:35:10.736387,chofer repartidor,5200,700,1800,11.0,1,1,1,1,1,1,0,6,Ciudad de México,La Magdalena Contreras
2018-08-01 08:35:26.919726,docente universidad,4400,800,1500,7.0,0,0,0,0,0,1,0,1,San Luis Potosí,Axtla de Terrazas
2018-08-01 08:45:03.962521,auxiliar ventas maquinaria textil,7000,800,1700,9.0,1,1,1,1,1,0,0,5,Aguascalientes,Jesús María
2018-08-01 08:40:10.063258,operador telefonico,5400,1200,2000,8.0,1,1,1,1,1,0,0,5,Ciudad de México,La Magdalena Contreras
2018-08-01 09:00:03.822775,operario produccion,4050,700,2300,16.0,1,1,1,1,1,1,0,6,Aguascalientes,San Francisco de los Romo
2018-08-01 08:45:25.648779,empleada mostrador tienda telefonia,3000,800,2000,12.0,1,1,1,1,1,1,0,6,San Luis Potosí,Ebano
2018-08-01 08:55:03.329982,mecanico suspensionista con conocimiento frenos,7000,900,1900,10.0,1,1,1,1,1,1,0,6,Aguascalientes,Aguascalientes
2018-08-01 08:50:13.528172,mecanico,8000,700,1500,8.0,1,1,1,1,1,1,1,7,Guanajuato,Guanajuato
2018-08-01 08:55:11.001190,ingeniero civil,17000,800,1700,9.0,1,1,1,1,1,1,0,6,Ciudad de México,Miguel Hidalgo
2018-08-01 08:50:26.221762,seleccionador citricos empresa citricola,3876,700,1900,12.0,1,1,1,1,1,1,0,6,San Luis Potosí,Ciudad Valles
2018-08-01 08:55:27.140280,guardia seguridad,5000,700,1900,12.0,1,1,1,1,1,1,1,7,Tabasco,Centro
2018-08-01 08:40:24.185675,docente universidad,4400,800,1500,7.0,0,0,0,0,0,1,0,1,San Luis Potosí,Axtla de Terrazas
2018-08-01 09:00:18.292618,secretaria,3000,900,1700,8.0,1,1,1,1,1,1,0,6,Michoacán,Zitácuaro
2018-08-01 09:00:32.173577,asistente mesero,5000,800,2000,12.0,1,1,1,1,1,1,1,7,Tabasco,Centro
2018-08-01 09:00:23.967888,ayudante general,4800,800,1800,10.0,1,1,1,1,1,1,0,6,Puebla,San Andrés Cholula
2018-08-01 09:05:22.896984,auxiliar administrativo,14500,800,1800,10.0,1,1,1,1,1,1,0,6,Puebla,San José Chiapa
2018-08-01 09:05:17.853061,ayudante cosina,4000,700,1800,11.0,1,1,1,1,1,0,0,5,Michoacán,Zitácuaro
2018-08-01 09:05:29.019363,compradora,5000,700,1700,10.0,1,1,1,1,1,1,1,7,Tabasco,Centro
2018-08-01 09:05:15.200197,vendedor servicios educativos,8000,900,1700,8.0,1,1,1,1,1,0,0,5,Jalisco,Guadalajara
2018-08-01 09:10:25.349299,chofer,6000,800,1800,10.0,1,1,1,1,1,1,0,6,Puebla,San Andrés Cholula
2018-08-01 09:10:23.701093,auxiliar administrativo,14500,800,1800,10.0,1,1,1,1,1,1,0,6,Puebla,San José Chiapa
2018-08-01 09:10:10.424760,conductor,6000,800,1700,9.0,1,1,1,1,1,1,0,6,Ciudad de México,Miguel Hidalgo
2018-08-01 09:10:24.515998,auxiliar administrativo,14500,800,1700,9.0,1,1,1,1,1,1,0,6,Puebla,San José Chiapa
2018-08-01 09:05:33.645201,encargado comedor,5600,700,1500,8.0,1,1,1,1,1,1,0,6,Yucatán,Mérida
2018-08-01 09:10:18.221374,chofer,7600,900,1700,8.0,1,1,1,1,1,1,0,6,Michoacán,Morelia
2018-08-01 09:15:21.855735,auxiliar administrativo,14500,800,1800,10.0,1,1,1,1,1,1,0,6,Puebla,San José Chiapa
2018-08-01 09:15:08.370993,cajero,4200,900,2100,12.0,1,1,1,1,1,1,1,7,Chiapas,Tapachula
2018-08-01 09:15:22.647518,ingeniero civil,10000,800,1900,11.0,1,1,1,1,1,1,0,6,Puebla,Puebla
2018-08-01 09:15:23.458955,auxiliar administrativo,14500,800,1800,10.0,1,1,1,1,1,1,0,6,Puebla,San José Chiapa
