offer,median_salary,count
ayudante general,4800,1110
guardia seguridad,6000,716
auxiliar administrativo,6000,672
auxiliar contable,7000,608
auxiliar limpieza,4200,540
cajero,4770,430
auxiliar almacen,5500,425
almacenista,6000,423
recepcionista,5600,335
operador produccion,4980,294
vigilante,5100,275
chofer repartidor,6000,271
vendedor piso,4500,254
chofer,6000,245
mesero,3366,241
cajera,4988,238
asesor ventas,5000,236
ejecutivo ventas,6000,229
ayudante cocina,4000,216
cocinero,5000,215
secretaria,5200,182
promotor ventas,4600,173
empleado mostrador,4100,169
soldador,7800,167
vendedor,5424,157
limpieza,4800,149
auxiliar mantenimiento,5949,148
tecnico mantenimiento,8000,143
montacarguista,6000,141
camarista,3800,134
capturista datos,6350,134
chofer vendedor,5000,133
auxiliar cocina,4400,132
gestor cobranza,6000,125
operario produccion,4740,116
vendedor mostrador,5000,114
atencion clientes,5000,108
intendente,4000,103
asesor financiero,6000,101
promotor credito,5030,97
asesor credito,5000,96
contador,9000,89
contador publico,8000,88
mecanico diesel,9000,85
auxiliar oficina,6850,84
mensajero,6000,82
inspector calidad,6000,82
mecanico automotriz,8000,81
asistente administrativo,6000,80
auxiliar recursos humanos,6400,79
medico general,10562,78
agente ventas,6750,78
diseñador grafico,6600,77
afanador,4600,75
ayudante almacen,5000,75
despachador gasolina,3600,75
supervisor produccion,10000,74
lavaloza,4100,73
electromecanico,9000,71
tornero,8500,67
jardinero,5000,67
electrico,9000,66
mecanico,8000,65
empleada mostrador,4000,65
ayudante general produccion,4350,64
residente obra,15000,64
personal limpieza,4200,62
tablajero,5700,61
ejecutivo telefonico,5000,60
supervisor ventas,8000,60
facturista,7750,60
auxiliar compras,6500,57
capturista,5200,57
chofer reparto,6000,57
ventas,5000,56
cocinera,4500,56
auxiliar produccion,5000,56
contador general,13500,54
tecnico instalador,5600,54
supervisor obra,15000,54
tecnico refrigeracion,10000,53
auxiliar servicios generales,6500,53
vendedor cambaceo,5000,51
empleado general,4000,51
tecnico electromecanico,8500,51
gerente ventas,10000,50
hostess,4800,49
auxiliar general,5200,49
gerente sucursal,10000,49
repartidor motocicleta,5000,48
supervisor,7250,48
monitorista,7000,47
panadero,5274,47
ayudante mecanico,5500,47
costurera,4800,47
chofer mensajero,5300,47
vendedora mostrador,6000,47
tecnico mantenimiento industrial,10000,47
ejecutiva atencion clientes,10000,47
operador general,5501,47
ayudante limpieza,4400,47
promotor,4500,45
cajero vendedor,4200,45
repartidor,4400,45
empleado piso,3865,44
auxiliar bodega,4500,44
bodeguero,5000,43
ejecutivo atencion clientes,5500,43
pintor,7200,42
ayudante chofer,5600,42
ayudante mantenimiento,5345,42
ingeniero sistemas,20000,42
garrotero,3200,42
velador,4800,42
jefe almacen,8000,41
intendencia,4000,41
analista contable,20000,41
operario general,5600,40
guardias seguridad,6000,40
dependiente mostrador,4000,39
auxiliar ventas,5000,39
ayudante reparto,5590,39
asesor comercial,6000,38
ayudante tienda,3941,38
auxiliar administrativa,5400,38
asistente direccion,8000,38
ayudantes generales,5000,38
ejecutivo comercial,6990,37
pulidor,8500,37
auditor calidad,7569,36
asesor telefonico,4600,36
tecnico electronica,6000,36
reclutador campo,7000,35
representante ventas,8000,35
chofer almacenista,6000,35
enfermera,5700,35
ensamblador,4376,35
encargado almacen,8000,34
enfermero,4500,34
carpintero,6843,34
steward,3600,34
lava loza,4000,33
lavador autos,5500,31
operador cnc,7500,31
auxiliar farmacia,4000,31
asistente ventas,7000,31
chofer automovil particular,12000,31
encargado tienda,5900,30
auxiliar intendencia,4650,30
albañil,6000,30
auxiliar servicios,6500,30
gerente tienda,10000,30
fierrero,11500,29
supervisor mantenimiento,9000,29
jornalero agricola,3500,29
tecnico maquinas y herramientas,8500,29
operador montacargas,6700,28
supervisor cobranza,7000,28
ingeniero electrico,14000,28
ingeniero industrial,10000,28
jefe mantenimiento,10000,28
ayudante produccion,5679,28
coordinador prestamos,4500,28
auxiliar inventarios,6000,27
auxiliar nominas,7000,27
auxiliar contabilidad,7800,27
ventas mostrador,5000,26
asistente educativo,3600,26
coordinador ventas,7250,26
programador cnc,12000,26
preventista,7750,26
auxiliar sistemas,7000,26
cuentas por cobrar,7500,25
auxiliar piso,4500,25
laminero,11500,25
mecanico industrial,8000,25
cajero sucursal,4770,24
soporte tecnico,7000,24
elemento seguridad,6000,24
encargado sucursal,7600,24
ejecutiva telemarketing,8500,24
ingeniero civil,10000,24
vendedora,4900,24
parrillero,4676,24
oficial comercio exterior,13433,24
barista,4500,23
ayudante mesero,3200,23
optometrista,6000,23
promotores abarrotes,6000,23
medico,9412,23
carnicero,6000,23
pintor automoviles,11000,23
arquitecto,12000,22
ayudante general operacion,5500,22
recamarista,4200,22
tecnico electricista,6800,22
costurero,5100,22
custodio,8000,22
tecnico radiologo,7000,22
auxiliar credito y cobranza,6800,22
asistente importaciones,15000,22
vendedor tangibles,10000,22
tecnico aire acondicionado,7350,22
recepcionista telemarkeing,5500,22
meseros,3130,22
capturista excel,5000,21
tapicero muebles,9000,21
cajero registrador,5430,21
supervisor seguridad,9969,21
afanadora,4000,21
encargada tesoreria,15000,21
servicios comunitarios,4000,21
ayudante chofer vendedor,4400,21
reclutador,7000,21
asistente cuentas por cobrar,6500,21
pintor para pintura electrostatica,9000,21
subgerente,8000,21
auditor,9000,21
operario limpieza,5000,21
auxiliar matematicas y excel,7000,21
soldador mig,8500,21
telemarketing,5000,21
encuestador domicilio,4000,21
mensajero motociclista,5500,21
cajeros,5400,20
gerente cuentas clave,30000,20
agente seguridad,4998,20
ayudante albañil,5400,20
ingeniero calidad,12000,20
auxiliar calidad,6714,20
empleado intendencia,3700,20
coordinador administrativo,10500,20
vendedor campo,5911,20
capitan meseros,6150,20
mantenimiento,5400,20
recepcionista hotel,4800,20
encargado mantenimiento,6750,20
cobrador,5084,20
operador mantenimiento,5768,19
cocinero b,4800,19
barman,4400,19
guardia seguridad intramuros,6000,19
autovestidor blindaje automotriz,11000,19
tecnico mecanico,6500,19
ayudante soldador,5650,19
promotor cambaceo,6000,19
vendedora piso,4100,19
electrico automotriz,8000,19
secretaria recepcionista,6000,19
chef,8000,19
auxiliar contable y costos,14000,18
tubero,9500,18
oficial seguridad,6000,18
encargado compras,10000,18
repartidor motociclista,5215,18
empacador,4700,18
electricista,6917,18
despachador combustible,4000,18
ayudante general cocina,5000,18
jornalero agricola vspc,5500,18
repartidor moto,4800,18
guardia seguridad privada,6000,18
auxiliar mostrador,5500,18
vendedor sucursal,4615,18
personal seguridad,6150,18
programador,8000,18
auxiliar lavanderia,4085,18
pailero,9200,17
telefonista,5500,17
secretaria ejecutiva,8000,17
